Id,Time[ns],0:SPI: MOSI data
1,854041600.00,0FF
2,859665640.00,177
3,865287220.00,101
4,870908220.00,100
5,876528360.00,100
6,882149940.00,113
7,887770960.00,0EF
8,893392220.00,108
9,899013220.00,0FF
10,904634940.00,177
11,910255600.00,101
12,915876020.00,100
13,921496740.00,100
14,927119240.00,110
15,932740420.00,0C0
16,938362280.00,14F
17,943982960.00,100
18,949604340.00,0C1
19,955225860.00,110
20,960847780.00,102
21,966468800.00,0C2
22,972090560.00,107
23,977711240.00,102
24,983332420.00,0CC
25,988953720.00,110

26,994575120.00,03A // 不一样
27,1000197020.00,170

28,1005818520.00,0B0
29,1011439660.00,100
30,1017060840.00,110
31,1022682440.00,117
32,1028303260.00,10D
33,1033924660.00,111
34,1039545380.00,106
35,1045166360.00,105
36,1050786900.00,108
37,1056408640.00,107
38,1062029080.00,11F
39,1067648960.00,104
40,1073268860.00,111
41,1078889740.00,10E
42,1084509640.00,129
43,1090129880.00,130
44,1095749540.00,11F


45,1101369940.00,0B1
46,1106989820.00,100
47,1112609460.00,10D
48,1118229500.00,114
49,1123849100.00,10E
50,1129469180.00,111
51,1135088760.00,106
52,1140709640.00,104
53,1146329720.00,108
54,1151950440.00,108
55,1157571340.00,120
56,1163192460.00,105
57,1168813460.00,113
58,1174434220.00,113
59,1180054980.00,126
60,1185675780.00,130
61,1191296440.00,11F


62,1196918060.00,0FF
63,1202539540.00,177
64,1208160320.00,101
65,1213780220.00,100
66,1219399960.00,100
67,1225020240.00,111

// BKSEL = 1 -> Command2_BK1
68,1230640880.00,0B0
69,1236261900.00,165
70,1241883000.00,0B1
71,1247503800.00,182
72,1253123400.00,0B2
73,1258743840.00,182
74,1264363560.00,0B3
75,1269984180.00,180
76,1275604640.00,0B5
77,1281224960.00,142
78,1286845280.00,0B7
79,1292465400.00,185
80,1298085220.00,0B8
81,1303705280.00,120
82,1309325700.00,0C1
83,1314946460.00,178
84,1320567060.00,0C2
85,1326188380.00,178


86,1331809060.00,0D0
87,1337429500.00,188
88,1343049480.00,0EE
89,1348670080.00,142

90,1354289900.00,0E0
91,1359909780.00,100
92,1365529040.00,100
93,1371149200.00,102

94,1376769920.00,0E1
95,1382391040.00,104
96,1388013060.00,1A0
97,1393633460.00,106
98,1399254580.00,1A0
99,1404874600.00,105
100,1410495460.00,1A0
101,1416115540.00,107
102,1421736620.00,1A0
103,1427356020.00,100
104,1432976140.00,144
105,1438596760.00,144


106,1444216800.00,0E2
107,1449837500.00,100
108,1455457400.00,100
109,1461077380.00,100
110,1466697500.00,100
111,1472317280.00,100
112,1477936860.00,100
113,1483557240.00,100
114,1489177920.00,100
115,1494798280.00,100
116,1500418380.00,100
117,1506038820.00,100
118,1511659100.00,100


119,1517280480.00,0E3
120,1522901340.00,100
121,1528521580.00,100
122,1534142340.00,122
123,1539762900.00,122


124,1545382580.00,0E4
125,1551003260.00,144
126,1556622720.00,144


127,1562242780.00,0E5
128,1567863100.00,10C
129,1573482980.00,190
130,1579102220.00,1A0
131,1584721140.00,1A0
132,1590339500.00,10E
133,1595959360.00,192
134,1601578080.00,1A0
135,1607197560.00,1A0
136,1612816120.00,108
137,1618435620.00,18C
138,1624054440.00,1A0
139,1629673720.00,1A0
140,1635292980.00,10A
141,1640913180.00,18E
142,1646532380.00,1A0
143,1652152020.00,1A0


144,1657770920.00,0E6
145,1663390020.00,100
146,1669008380.00,100
147,1674626940.00,122
148,1680245440.00,122


149,1685865020.00,0E7
150,1691484360.00,144
151,1697103980.00,144


152,1702723060.00,0E8
153,1708342940.00,10D
154,1713962200.00,191
155,1719581520.00,1A0
156,1725200400.00,1A0
157,1730819580.00,10F
158,1736438580.00,193
159,1742057540.00,1A0
160,1747675800.00,1A0
161,1753293860.00,109
162,1758911520.00,18D
163,1764529400.00,1A0
164,1770146840.00,1A0
165,1775764700.00,10B
166,1781382320.00,18F
167,1787000240.00,1A0
168,1792617560.00,1A0


169,1798235220.00,0EB
170,1803852300.00,100
171,1809468940.00,100
172,1815086380.00,1E4
173,1820704100.00,1E4
174,1826320920.00,144
175,1831938100.00,100
176,1837556660.00,140


177,1843174060.00,0ED
178,1848792340.00,1FF
179,1854409300.00,1F5
180,1860026980.00,147
181,1865644700.00,16F
182,1871262920.00,10B
183,1876880240.00,1A1
184,1882497640.00,1AB
185,1888114420.00,1FF
186,1893731760.00,1FF
187,1899349060.00,1BA
188,1904967100.00,11A
189,1910584920.00,1B0
190,1916202320.00,1F6
191,1921819520.00,174
192,1927437960.00,15F
193,1933055860.00,1FF


194,1938673620.00,0EF
195,1944292180.00,108
196,1949910460.00,108
197,1955528040.00,108
198,1961146460.00,140
199,1966764280.00,13F
200,1972382800.00,164


201,1978000480.00,0FF
202,1983619180.00,177
203,1989236660.00,101
204,1994853840.00,100
205,2000471340.00,100
206,2006088900.00,100


207,2011707060.00,0FF
208,2017325240.00,177
209,2022943560.00,101
210,2028560700.00,100
211,2034177880.00,100
212,2039795420.00,113



213,2045413620.00,0E6
214,2051031280.00,116
215,2056649640.00,17C
216,2062267500.00,0E8
217,2067885300.00,100
218,2073503580.00,10E


219,2079121840.00,0FF
220,2084741100.00,177
221,2090359320.00,101
222,2095977020.00,100
223,2101594760.00,100
224,2107213320.00,100


225,2112832300.00,011

// delay 700ms

226,2897064780.00,0FF
227,2902684220.00,177
228,2908303980.00,101
229,2913922460.00,100
230,2919540560.00,100
231,2925159120.00,113


232,2930778200.00,0E8
233,2936397040.00,100
234,2942016100.00,10C


// delay 700ms

235,3726250960.00,0E8
236,3731868640.00,100
237,3737486060.00,100

238,3743104100.00,0FF
239,3748721520.00,177
240,3754338680.00,101
241,3759955820.00,100
242,3765573080.00,100
243,3771190540.00,100
244,3776808480.00,029


245,3782427640.00,035 // 不一样
246,3788046860.00,110
